compound,compound noun,compound noun_tag,original sentence,original sentence_tag,entire original sentence,entire original sentence_tag,original head only,original head only_tag,original modifier only,original modifier only_tag,generic modifier,generic modifier_tag,generic head,generic head_tag,synonym modifier,synonym modifier_tag,synonym head,synonym head_tag,synonym both,synonym both_tag,synonym for compound,synonym for compound_tag,nc rand freq sentence1,nc rand freq sentence1_tag,nc rand sentence1,nc rand sentence1_tag,nc rand freq sentence2,nc rand freq sentence2_tag,nc rand sentence2,nc rand sentence2_tag,nc rand freq sentence3,nc rand freq sentence3_tag,nc rand sentence3,nc rand sentence3_tag,nc rand freq sentence4,nc rand freq sentence4_tag,nc rand sentence4,nc rand sentence4_tag,nc rand freq sentence5,nc rand freq sentence5_tag,nc rand sentence5,nc rand sentence5_tag
maré baixa,maré baixa,"[True, True]",O adolescente perdeu a vida por meio de um mergulho na maré baixa .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho na maré baixa .,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True]",O adolescente perdeu a vida por meio de um mergulho na maré .,"[False, False, False, False, False, False, False, False, False, False, False, True, False]",O adolescente perdeu a vida por meio de um mergulho na baixa .,"[False, False, False, False, False, False, False, False, False, False, False, True, False]",O adolescente perdeu a vida por meio de um mergulho na maré normal .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho na coisa baixa .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho na maré inferior .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho no fluxo baixo .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho no fluxo inferior .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho na baixa mar .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho nos limites máximo .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho na tartaruga-marinha .,"[False, False, False, False, False, False, False, False, False, False, False, True, False]",O adolescente perdeu a vida por meio de um mergulho na taekwondista estadunidense .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho na sétima arte .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho nas técnicas estatísticas .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho na água mineral .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho na pressão vendedora .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho na gripe aviária .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho nos bens finais .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False]",O adolescente perdeu a vida por meio de um mergulho na batata-doce .,"[False, False, False, False, False, False, False, False, False, False, False, True, False]"
massa cinzenta,massa cinzenta,"[True, True]",Estudos mostram aumento de massa cinzenta e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de massa cinzenta e branca em cérebros de adultos mais velhos .,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",Estudos mostram aumento de massa e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de cinzenta e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de massa normal e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de coisa cinzenta e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de massa alvacenta e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de matéria cinzenta e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de matéria alvacenta e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de cérebro e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de mercadorias agrícolas e brancas em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de vista grossa e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de geradores nucleares e brancos em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de ficha limpa e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de topografia urbana e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de força bruta e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de títulos femininos e brancos em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de água mineral e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de excelentes canções e brancas em cérebros de adultos mais velhos .,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Estudos mostram aumento de primeira-dama e branca em cérebros de adultos mais velhos .,"[False, False, False, False, True, False, False, False, False, False, False, False, False, False]"
mau contato,mau contato,"[True, True]",Vi que o fio do seu carregador está com mau contato .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com mau contato .,"[True, True, True, True, True, True, True, True, True, True, True, True]",Vi que o fio do seu carregador está com mau .,"[False, False, False, False, False, False, False, False, False, True, False]",Vi que o fio do seu carregador está com contato .,"[False, False, False, False, False, False, False, False, False, True, False]",Vi que o fio do seu carregador está com contato normal .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com coiso mau .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com tocamento mau .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com contato ruim .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com tocamento ruim .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com problema .,"[False, False, False, False, False, False, False, False, False, True, False]",Vi que o fio do seu carregador está com jogador tricolor .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com pau-mandado .,"[False, False, False, False, False, False, False, False, False, True, False]",Vi que o fio do seu carregador está com partido trotskista .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com leite integral .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com quantidade infinita .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com amigo oculto .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com temas originais .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com longa-metragem .,"[False, False, False, False, False, False, False, False, False, True, False]",Vi que o fio do seu carregador está com sentido colectivo .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Vi que o fio do seu carregador está com sangue frio .,"[False, False, False, False, False, False, False, False, False, True, True, False]"
mau-humor,mau-humor,[True],"Mau-humor , preguiça , desânimo .","[True, False, False, False, False, False]","Mau-humor , preguiça , desânimo .","[True, True, True, True, True, True]","Mau , preguiça , desânimo .","[True, False, False, False, False, False]","Humor , preguiça , desânimo .","[True, False, False, False, False, False]","Humor normal , preguiça , desânimo .","[True, True, False, False, False, False, False]","Coiso mau , preguiça , desânimo .","[True, True, False, False, False, False, False]","Mau temperamento , preguiça , desânimo .","[True, True, False, False, False, False, False]","Humor ruim , preguiça , desânimo .","[True, True, False, False, False, False, False]","Temperamento ruim , preguiça , desânimo .","[True, True, False, False, False, False, False]","Irritação , preguiça , desânimo .","[True, False, False, False, False, False]","Médio curso , preguiça , desânimo .","[True, True, False, False, False, False, False]","príncipe encantado , preguiça , desânimo .","[True, True, False, False, False, False, False]","Futebolista esloveno , preguiça , desânimo .","[True, True, False, False, False, False, False]","olho nu , preguiça , desânimo .","[True, True, False, False, False, False, False]","Serviço funerário , preguiça , desânimo .","[True, True, False, False, False, False, False]","mão-fechada , preguiça , desânimo .","[True, False, False, False, False, False]","Terra americana , preguiça , desânimo .","[True, True, False, False, False, False, False]","exame clínico , preguiça , desânimo .","[True, True, False, False, False, False, False]","Pessoa santa , preguiça , desânimo .","[True, True, False, False, False, False, False]","tiro livre , preguiça , desânimo .","[True, True, False, False, False, False, False]"
mau-olhado,mau-olhado,[True],Esquecer o olho grande e o mau-olhado em volta .,"[False, False, False, False, False, False, True, False, False, False]",Esquecer o olho grande e o mau-olhado em volta .,"[True, True, True, True, True, True, True, True, True, True]",Esquecer o olho grande e o mau em volta .,"[False, False, False, False, False, False, True, False, False, False]",Esquecer o olho grande e o olhado em volta .,"[False, False, False, False, False, False, True, False, False, False]",Esquecer o olho grande e o olhado normal em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e o coiso mau em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e o observado mau em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e o olhado ruim em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e o observado ruim em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e a inveja em volta .,"[False, False, False, False, False, False, True, False, False, False]",Esquecer o olho grande e o autor espanhol em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e o coração partido em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e o campeonato invicto em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e o sistema político em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e as fortes vantagens em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e o curto-circuito em volta .,"[False, False, False, False, False, False, True, False, False, False]",Esquecer o olho grande e o relatório incisivo em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e o juízo final em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e o melhor presidente em volta .,"[False, False, False, False, False, False, True, True, False, False, False]",Esquecer o olho grande e o tiro livre em volta .,"[False, False, False, False, False, False, True, True, False, False, False]"
mercado negro,mercado negro,"[True, True]",Proliferou o mercado negro e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o mercado negro e incentivou - se o processo inflacionário .,"[True, True, True, True, True, True, True, True, True, True, True, True]",Proliferou o mercado e incentivou - se o processo inflacionário .,"[False, False, True, False, False, False, False, False, False, False, False]",Proliferou o negro e incentivou - se o processo inflacionário .,"[False, False, True, False, False, False, False, False, False, False, False]",Proliferou o mercado normal e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o coiso negro e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o mercado preto e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o negócio negro e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o negócio preto e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o mercado ilegal e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferaram os novos cursos e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o ar condicionado e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou a responsabilidade própria e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o caixeiro viajante e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o vida familiar e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o deputado federal e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o residência oficial e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o alto-falante e incentivou - se o processo inflacionário .,"[False, False, True, False, False, False, False, False, False, False, False]",Proliferou o lei estadual e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]",Proliferou o príncipe encantado e incentivou - se o processo inflacionário .,"[False, False, True, True, False, False, False, False, False, False, False, False]"
mesa-redonda,mesa-redonda,[True],"Uma mesa-redonda diferente , mais dinâmica e com convidados especiais .","[False, True, False, False, False, False, False, False, False, False, False]","Uma mesa-redonda diferente , mais dinâmica e com convidados especiais .","[True, True, True, True, True, True, True, True, True, True, True]","Uma mesa diferente , mais dinâmica e com convidados especiais .","[False, True, False, False, False, False, False, False, False, False, False]","Uma redonda diferente , mais dinâmica e com convidados especiais .","[False, True, False, False, False, False, False, False, False, False, False]","Uma mesa normal diferente , mais dinâmica e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Uma coisa redonda diferente , mais dinâmica e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Uma mesa circular diferente , mais dinâmica e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Uma secretária redonda diferente , mais dinâmica e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Uma secretária circular diferente , mais dinâmica e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Um debate diferente , mais dinâmico e com convidados especiais .","[False, True, False, False, False, False, False, False, False, False, False]","Uns numerosos concursos diferentes , mais dinâmicos e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Uma vista grossa diferente , mais dinâmica e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Um ácido estomacal diferente , mais dinâmico e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Uma tela plana diferente , mais dinâmica e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Uns usuários normais diferentes , mais dinâmicos e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Uma classe executiva diferente , mais dinâmica e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Um site interativo diferente , mais dinâmica e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Uma água doce diferente , mais dinâmica e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Uns planos hidrológicos diferentes , mais dinâmicos e com convidados especiais .","[False, True, True, False, False, False, False, False, False, False, False, False]","Uma primeira-dama diferente , mais dinâmica e com convidados especiais .","[False, True, False, False, False, False, False, False, False, False, False]"
montanha-russa,montanha-russa,[True],Cada montanha-russa é mais emocionante do que a outra !,"[False, True, False, False, False, False, False, False, False, False]",Cada montanha-russa é mais emocionante do que a outra !,"[True, True, True, True, True, True, True, True, True, True]",Cada montanha é mais emocionante do que a outra !,"[False, True, False, False, False, False, False, False, False, False]",Cada russa é mais emocionante do que a outra !,"[False, True, False, False, False, False, False, False, False, False]",Cada montanha normal é mais emocionante do que a outra !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada coisa russa é mais emocionante do que a outra !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada montanha moscovita é mais emocionante do que a outra !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada monte russo é mais emocionante do que o outro !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada monte moscovita é mais emocionante do que o outro !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada brinquedo é mais emocionante do que o outro !,"[False, True, False, False, False, False, False, False, False, False]",Cada subsidiária espanhola é mais emocionante do que a outra !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada pente fino é mais emocionante do que a outra !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada mecanismo formal é mais emocionante do que a outro !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada farinha integral é mais emocionante do que a outra !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada mobiliário urbano é mais emocionante do que a outro !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada carne vermelha é mais emocionante do que a outra !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada oposição séria é mais emocionante do que a outra !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada quinta categoria é mais emocionante do que a outra !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada análise teológica é mais emocionante do que a outra !,"[False, True, True, False, False, False, False, False, False, False, False]",Cada tela plana é mais emocionante do que a outra !,"[False, True, True, False, False, False, False, False, False, False, False]"
navio negreiro,navios negreiros,"[True, True]",Acredita - se que tenham vindo da África em navios negreiros .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em navios negreiros .,"[True, True, True, True, True, True, True, True, True, True, True, True]",Acredita - se que tenham vindo da África em navios .,"[False, False, False, False, False, False, False, False, False, True, False]",Acredita - se que tenham vindo da África em negreiros .,"[False, False, False, False, False, False, False, False, False, True, False]",Acredita - se que tenham vindo da África em navios normais .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em coisos negreiros .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em navios escravos .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em barcos negreiros .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em barcos escravos .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em navios de escravos .,"[False, False, False, False, False, False, False, False, False, True, True, True, False]",Acredita - se que tenham vindo da África em impostos corporativos .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em desfiles militares .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em cenas brutais .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em atos falhos .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em sons interessantes .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em novos-ricos .,"[False, False, False, False, False, False, False, False, False, True, False]",Acredita - se que tenham vindo da África em ventos ascendentes .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em gatos-pingados .,"[False, False, False, False, False, False, False, False, False, True, False]",Acredita - se que tenham vindo da África em complexidade teórica .,"[False, False, False, False, False, False, False, False, False, True, True, False]",Acredita - se que tenham vindo da África em pontos fracos .,"[False, False, False, False, False, False, False, False, False, True, True, False]"
nó cego,nós cegos,"[True, True]",Há muitos nós cegos que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos nós cegos que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",Há muitos nós que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos cegos que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos nós normais que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos coisos cegos que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos nós invisuais que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos laços cegos que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos laços invisuais que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos nós apertados que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos tanques iraquianos que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos novos-ricos que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitas limitações estritas que têm de ser desatadas e não podem ser abruptamente cortadas em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos pontos cegos que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muita rigorosa apuração que têm de ser desatada e não podem ser abruptamente cortada em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos pastores alemães que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muita comparação inevitável que têm de ser desatada e não podem ser abruptamente cortada em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos lugares-comuns que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muita índole mediterrânica que têm de ser desatada e não podem ser abruptamente cortada em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Há muitos atos falhos que têm de ser desatados e não podem ser abruptamente cortados em pedaços .,"[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
novo mundo,novo mundo,"[True, True]",Lentamente estamos construindo um novo mundo .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um novo mundo .,"[True, True, True, True, True, True, True]",Lentamente estamos construindo um novo .,"[False, False, False, False, True, False]",Lentamente estamos construindo um mundo .,"[False, False, False, False, True, False]",Lentamente estamos construindo um mundo normal .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um novo coiso .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um novo planeta .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um mundo recente .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um planeta recente .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo uma novidade .,"[False, False, False, False, True, False]",Lentamente estamos construindo um sistema político .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um mão-fechada .,"[False, False, False, False, True, False]",Lentamente estamos construindo um melhor brasileiro .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um sangue azul .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um sistema judicial .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um príncipe encantado .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um tema central .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um café colonial .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um enorme sucesso .,"[False, False, False, False, True, True, False]",Lentamente estamos construindo um agente secreto .,"[False, False, False, False, True, True, False]"
novo-rico,novos-ricos,[True],"Os novos-ricos precisam despejar dinheiro , pois não têm tradição .","[False, True, False, False, False, False, False, False, False, False, False]","Os novos-ricos precisam despejar dinheiro , pois não têm tradição .","[True, True, True, True, True, True, True, True, True, True, True]","Os novos precisam despejar dinheiro , pois não têm tradição .","[False, True, False, False, False, False, False, False, False, False, False]","Os ricos precisam despejar dinheiro , pois não têm tradição .","[False, True, False, False, False, False, False, False, False, False, False]","Os ricos normais precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os novos coisos precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os novos endinheirados precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os ricos recentes precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os endinheirados recentes precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os milionários recentes precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","As principais armas precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os pastores alemães precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os motivos profissionais precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os lugares-comuns precisam despejar dinheiro , pois não têm tradição .","[False, True, False, False, False, False, False, False, False, False, False]","Os níveis salariais precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os vôos domésticos precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os poderes psíquicos precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os abalos sísmicos precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os predadores naturais precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]","Os desfiles militares precisam despejar dinheiro , pois não têm tradição .","[False, True, True, False, False, False, False, False, False, False, False, False]"
