compound,compound noun,compound noun_tag,neutral sentence,original sentence_tag,neutral sentence plural,neutral sentence plural_tag,entire neutral sentence,entire neutral sentence_tag,original modifier only,original modifier only_tag,original head only,original head only_tag,head only plural,head only plural_tag,modifier hypernym,modifier hypernym_tag,head hypernym,head hypernym_tag,synonym for compound,synonym for compound_tag,mwe synonym plural,mwe synonym plural_tag,modifier synonym,modifier synonym_tag,head synonym,head synonym_tag,head synonym plural,head synonym plural_tag,synonym both,synonym both_tag,both synonyms plural,both synonyms plural_tag,only mwe synonym,only mwe synonym_tag,nc rand freq sentence5,nc rand freq sentence5_tag,nc rand freq sentence1,nc rand freq sentence1_tag,nc rand sentence1,nc rand sentence1_tag,nc rand freq sentence2,nc rand freq sentence2_tag,nc rand sentence2,nc rand sentence2_tag,nc rand freq sentence3,nc rand freq sentence3_tag,nc rand sentence3,nc rand sentence3_tag,nc rand freq sentence4,nc rand freq sentence4_tag,nc rand sentence4,nc rand sentence4_tag,nc rand sentence5,nc rand sentence5_tag,compound noun head,compound noun head_tag,compound noun modifier,compound noun modifier_tag,only both synonyms,only both synonyms_tag
lua cheia,lua cheia,"[True, True]",Esta é uma lua cheia .,"[False, False, False, True, True, False]",Estas são luas cheias .,"[False, False, True, True, False]",Esta é uma lua cheia . ,"[True, True, True, True, True, True]",Esta é uma cheia .,"[False, False, False, True, False]",Esta é uma lua .,"[False, False, False, True, False]",Estas são luas .,"[False, False, True, False]",Esta é uma lua normal .,"[False, False, False, True, True, False]",Esta é uma coisa cheia .,"[False, False, False, True, True, False]",Esta é uma lua completa .,"[False, False, False, True, True, False]",Estas são luas completas .,"[False, False, True, True, False]",Esta é uma lua carregada .,"[False, False, False, True, True, False]",Este é um satélite cheio .,"[False, False, False, True, True, False]",Estes são satélites cheios .,"[False, False, True, True, False]",Este é um satélite carregado .,"[False, False, False, True, True, False]",Estes são satélites carregados .,"[False, False, True, True, False]",lua completa,"[True, True]",Estas são jovens aprendizes .,"[False, False, True, True, False]",Estas são longas pernas .,"[False, False, True, True, False]",Estas são escadas rolantes .,"[False, False, True, True, False]",Estas são linhas internacionais .,"[False, False, True, True, False]",Estas são colunas sociais .,"[False, False, True, True, False]",Estas são ligações peptídicas .,"[False, False, True, True, False]",Estas são caixas-fortes .,"[False, False, True, False]",Estas são jornalistas profissionais .,"[False, False, True, True, False]",Estas são carnes brancas .,"[False, False, True, True, False]",Estas são contas-correntes .,"[False, False, True, False]",lua,[True],cheia,[True],satélite carregado,"[True, True]"
lua nova,lua nova,"[True, True]",Esta é uma lua nova .,"[False, False, False, True, True, False]",Estas são luas novas .,"[False, False, True, True, False]",Esta é uma lua nova . ,"[True, True, True, True, True, True]",Esta é uma nova .,"[False, False, False, True, False]",Esta é uma lua .,"[False, False, False, True, False]",Estas são luas .,"[False, False, True, False]",Esta é uma lua normal .,"[False, False, False, True, True, False]",Esta é uma coisa nova .,"[False, False, False, True, True, False]",Esta é uma lua .,"[False, False, False, True, False]",Estas são luas .,"[False, False, True, False]",Esta é uma lua recente .,"[False, False, False, True, True, False]",Este é um satélite novo .,"[False, False, False, True, True, False]",Estes são satélites novos .,"[False, False, True, True, False]",Este é um satélite recente .,"[False, False, False, True, True, False]",Estes são satélites recentes .,"[False, False, True, True, False]",lua,[True],Estas são ligações viárias .,"[False, False, True, True, False]",Estas são políticas sociais .,"[False, False, True, True, False]",Estas são contas-correntes .,"[False, False, True, False]",Estas são cidades grandes .,"[False, False, True, True, False]",Estas são cordas vocais .,"[False, False, True, True, False]",Estas são grandes quantidades .,"[False, False, True, True, False]",Estas são escadas rolantes .,"[False, False, True, True, False]",Estas são linhas sinuosas .,"[False, False, True, True, False]",Estas são carnes brancas .,"[False, False, True, True, False]",Estas são caixas-fortes .,"[False, False, True, False]",lua,[True],nova,[True],satélite recente,"[True, True]"
lugar-comum,lugar-comum,[True],Este é um lugar-comum .,"[False, False, False, True, False]",Estes são lugares-comuns .,"[False, False, True, False]",Este é um lugar-comum . ,"[True, True, True, True, True]",Este é um comum .,"[False, False, False, True, False]",Este é um lugar .,"[False, False, False, True, False]",Estes são lugares .,"[False, False, True, False]",Este é um lugar normal .,"[False, False, False, True, True, False]",Este é um coiso comum .,"[False, False, False, True, True, False]",Este é um clichê .,"[False, False, False, True, False]",Estes são clichês .,"[False, False, True, False]",Este é um lugar público .,"[False, False, False, True, True, False]",Este é um local comum .,"[False, False, False, True, True, False]",Estes são locais comuns .,"[False, False, True, True, False]",Este é um local público .,"[False, False, False, True, True, False]",Estes são locais públicos .,"[False, False, True, True, False]",clichê,[True],Estes são diversos homens .,"[False, False, True, True, False]",Estes são resultados importantes .,"[False, False, True, True, False]",Estes são abalos sísmicos .,"[False, False, True, True, False]",Estes são anos importantes .,"[False, False, True, True, False]",Estes são nós cegos .,"[False, False, True, True, False]",Estes são eventos maiores .,"[False, False, True, True, False]",Estes são direitos humanos .,"[False, False, True, True, False]",Estes são tempos melhores .,"[False, False, True, True, False]",Estes são pontos fortes .,"[False, False, True, True, False]",Estes são exames laboratoriais .,"[False, False, True, True, False]",lugar,[True],comum,[True],local público,"[True, True]"
má-fé,má-fé,[True],Esta é uma má-fé .,"[False, False, False, True, False]",Estas são más-fés .,"[False, False, True, False]",Esta é uma má-fé . ,"[True, True, True, True, True]",Esta é uma má .,"[False, False, False, True, False]",Esta é uma fé .,"[False, False, False, True, False]",Estas são fés .,"[False, False, True, False]",Esta é uma fé normal .,"[False, False, False, True, True, False]",Esta é uma coisa má .,"[False, False, False, True, True, False]",Esta é uma maldade .,"[False, False, False, True, False]",Estas são maldades .,"[False, False, True, False]",Esta é uma crença má .,"[False, False, False, True, True, False]",Esta é uma fé ruim .,"[False, False, False, True, True, False]",Estas são fés ruins .,"[False, False, True, True, False]",Esta é uma crença ruim .,"[False, False, False, True, True, False]",Estas são crenças ruins .,"[False, False, True, True, False]",maldade,[True],Esta é uma legislação orçamental .,"[False, False, False, True, True, False]",Esta é uma pergunta inicial .,"[False, False, False, True, True, False]",Esta é uma alta temporada .,"[False, False, False, True, True, False]",Esta é uma historiografia atual .,"[False, False, False, True, True, False]",Esta é uma quinta categoria .,"[False, False, False, True, True, False]",Esta é uma linha inteira .,"[False, False, False, True, True, False]",Esta é uma longa-metragem .,"[False, False, False, True, False]",Esta é uma enguia europeia .,"[False, False, False, True, True, False]",Esta é uma montanha-russa .,"[False, False, False, True, False]",Esta é uma máquina virtual .,"[False, False, False, True, True, False]",fé,[True],má,[True],crença ruim,"[True, True]"
magia negra,magia negra,"[True, True]",Esta é uma magia negra .,"[False, False, False, True, True, False]",Estas são magias negras .,"[False, False, True, True, False]",Esta é uma magia negra . ,"[True, True, True, True, True, True]",Esta é uma negra .,"[False, False, False, True, False]",Esta é uma magia .,"[False, False, False, True, False]",Estas são magias .,"[False, False, True, False]",Esta é uma magia normal .,"[False, False, False, True, True, False]",Esta é uma coisa negra .,"[False, False, False, True, True, False]",Esta é uma bruxaria .,"[False, False, False, True, False]",Estas são bruxarias .,"[False, False, True, False]",Esta é uma magia preta .,"[False, False, False, True, True, False]",Esta é uma feitiçaria negra .,"[False, False, False, True, True, False]",Estas são feitiçarias negras .,"[False, False, True, True, False]",Esta é uma feitiçaria preta .,"[False, False, False, True, True, False]",Estas são feitiçarias pretas .,"[False, False, True, True, False]",bruxaria,[True],Esta é uma contribuição mínima .,"[False, False, False, True, True, False]",Esta é uma união formal .,"[False, False, False, True, True, False]",Esta é uma primeira-dama .,"[False, False, False, True, False]",Esta é uma queixa legal .,"[False, False, False, True, True, False]",Esta é uma sangue quente .,"[False, False, False, True, True, False]",Esta é uma opção comunitária .,"[False, False, False, True, True, False]",Esta é uma secretária eletrônica .,"[False, False, False, True, True, False]",Esta é uma física avançada .,"[False, False, False, True, True, False]",Esta é uma má-fé .,"[False, False, False, True, False]",Esta é uma primeira mão .,"[False, False, False, True, True, False]",magia,[True],negra,[True],feitiçaria preta,"[True, True]"
mão-fechada,mão-fechada,[True],Esta é uma mão-fechada .,"[False, False, False, True, False]",Estas são mãos-fechadas .,"[False, False, True, False]",Esta é uma mão-fechada . ,"[True, True, True, True, True]",Esta é uma fechada .,"[False, False, False, True, False]",Esta é uma mão .,"[False, False, False, True, False]",Estas são mãos .,"[False, False, True, False]",Esta é uma mão normal .,"[False, False, False, True, True, False]",Esta é uma coisa fechada .,"[False, False, False, True, True, False]",Este é um pão duro .,"[False, False, False, True, True, False]",Estes são pães duros .,"[False, False, True, True, False]",Esta é uma mão cerrada .,"[False, False, False, True, True, False]",Este é um palmo fechado .,"[False, False, False, True, True, False]",Estes são palmos fechados .,"[False, False, True, True, False]",Este é um palmo cerrado .,"[False, False, False, True, True, False]",Estes são palmos cerrados .,"[False, False, True, True, False]",pão duro,"[True, True]",Esta é uma dor profunda .,"[False, False, False, True, True, False]",Esta é uma eventual infecção .,"[False, False, False, True, True, False]",Esta é uma longa data .,"[False, False, False, True, True, False]",Esta é uma ação oxidante .,"[False, False, False, True, True, False]",Esta é uma vista grossa .,"[False, False, False, True, True, False]",Esta é uma textura sonora .,"[False, False, False, True, True, False]",Esta é uma corda bamba .,"[False, False, False, True, True, False]",Esta é uma criação feminina .,"[False, False, False, True, True, False]",Esta é uma montanha-russa .,"[False, False, False, True, False]",Esta é uma secretária eletrônica .,"[False, False, False, True, True, False]",mão,[True],fechada,[True],palmo cerrado,"[True, True]"
máquina virtual,máquina virtual,"[True, True]",Esta é uma máquina virtual .,"[False, False, False, True, True, False]",Estas são máquinas virtuais .,"[False, False, True, True, False]",Esta é uma máquina virtual . ,"[True, True, True, True, True, True]",Esta é uma virtual .,"[False, False, False, True, False]",Esta é uma máquina .,"[False, False, False, True, False]",Estas são máquinas .,"[False, False, True, False]",Esta é uma máquina normal .,"[False, False, False, True, True, False]",Esta é uma coisa virtual .,"[False, False, False, True, True, False]",Este é um computador virtual .,"[False, False, False, True, True, False]",Estes são computadores virtuais .,"[False, False, True, True, False]",Esta é uma máquina potencial .,"[False, False, False, True, True, False]",Este é um aparelho virtual .,"[False, False, False, True, True, False]",Estes são aparelhos virtuais .,"[False, False, True, True, False]",Este é um aparelho potencial .,"[False, False, False, True, True, False]",Estes são aparelhos potenciais .,"[False, False, True, True, False]",computador virtual,"[True, True]",Esta é uma proteção elétrica .,"[False, False, False, True, True, False]",Esta é uma eletrônica moderna .,"[False, False, False, True, True, False]",Esta é uma primeira infância .,"[False, False, False, True, True, False]",Esta é uma estratégia genérica .,"[False, False, False, True, True, False]",Esta é uma cerca viva .,"[False, False, False, True, True, False]",Esta é uma dívida multilateral .,"[False, False, False, True, True, False]",Esta é uma fila indiana .,"[False, False, False, True, True, False]",Esta é uma crença cristã .,"[False, False, False, True, True, False]",Esta é uma vaca louca .,"[False, False, False, True, True, False]",Esta é uma saia justa .,"[False, False, False, True, True, False]",máquina,[True],virtual,[True],aparelho potencial,"[True, True]"
mar aberto,mar aberto,"[True, True]",Este é um mar aberto .,"[False, False, False, True, True, False]",Estes são mares abertos .,"[False, False, True, True, False]",Este é um mar aberto . ,"[True, True, True, True, True, True]",Este é um aberto .,"[False, False, False, True, False]",Este é um mar .,"[False, False, False, True, False]",Estes são mares .,"[False, False, True, False]",Este é um mar normal .,"[False, False, False, True, True, False]",Este é um coiso aberto .,"[False, False, False, True, True, False]",Este é um alto mar .,"[False, False, False, True, True, False]",Estes são altos mares .,"[False, False, True, True, False]",Este é um mar acessível .,"[False, False, False, True, True, False]",Este é um oceano aberto .,"[False, False, False, True, True, False]",Estes são oceanos abertos .,"[False, False, True, True, False]",Este é um oceano acessível .,"[False, False, False, True, True, False]",Estes são oceanos acessíveis .,"[False, False, True, True, False]",alto mar,"[True, True]",Este é um aspecto externo .,"[False, False, False, True, True, False]",Este é um domínio chinês .,"[False, False, False, True, True, False]",Este é um núcleo atômico .,"[False, False, False, True, True, False]",Este é um médico norueguês .,"[False, False, False, True, True, False]",Este é um novo mundo .,"[False, False, False, True, True, False]",Este é um clássico inglês .,"[False, False, False, True, True, False]",Este é um puro-sangue .,"[False, False, False, True, False]",Este é um logotipo diferente .,"[False, False, False, True, True, False]",Este é um pé-frio .,"[False, False, False, True, False]",Este é um quadro-negro .,"[False, False, False, True, False]",mar,[True],aberto,[True],oceano acessível,"[True, True]"
maré alta,maré alta,"[True, True]",Esta é uma maré alta .,"[False, False, False, True, True, False]",Estas são marés altas .,"[False, False, True, True, False]",Esta é uma maré alta . ,"[True, True, True, True, True, True]",Esta é uma alta .,"[False, False, False, True, False]",Esta é uma maré .,"[False, False, False, True, False]",Estas são marés .,"[False, False, True, False]",Esta é uma maré normal .,"[False, False, False, True, True, False]",Esta é uma coisa alta .,"[False, False, False, True, True, False]",Este é um mar alto .,"[False, False, False, True, True, False]",Estes são mares altos .,"[False, False, True, True, False]",Esta é uma maré elevada .,"[False, False, False, True, True, False]",Este é um fluxo alto .,"[False, False, False, True, True, False]",Estes são fluxos altos .,"[False, False, True, True, False]",Este é um fluxo elevado .,"[False, False, False, True, True, False]",Estes são fluxos elevados .,"[False, False, True, True, False]",mar alto,"[True, True]",Esta é uma sociedade francesa .,"[False, False, False, True, True, False]",Esta é uma direção política .,"[False, False, False, True, True, False]",Esta é uma corda bamba .,"[False, False, False, True, True, False]",Esta é uma floresta amazônica .,"[False, False, False, True, True, False]",Esta é uma farinha integral .,"[False, False, False, True, True, False]",Esta é uma imprensa espanhola .,"[False, False, False, True, True, False]",Esta é uma lista negra .,"[False, False, False, True, True, False]",Esta é uma apresentação oficial .,"[False, False, False, True, True, False]",Esta é uma má-fé .,"[False, False, False, True, False]",Esta é uma queda livre .,"[False, False, False, True, True, False]",maré,[True],alta,[True],fluxo elevado,"[True, True]"
maré baixa,maré baixa,"[True, True]",Esta é uma maré baixa .,"[False, False, False, True, True, False]",Estas são marés baixas .,"[False, False, True, True, False]",Esta é uma maré baixa . ,"[True, True, True, True, True, True]",Esta é uma baixa .,"[False, False, False, True, False]",Esta é uma maré .,"[False, False, False, True, False]",Estas são marés .,"[False, False, True, False]",Esta é uma maré normal .,"[False, False, False, True, True, False]",Esta é uma coisa baixa .,"[False, False, False, True, True, False]",Esta é uma baixa mar .,"[False, False, False, True, True, False]",Estas são baixa mares .,"[False, False, True, True, False]",Esta é uma maré inferior .,"[False, False, False, True, True, False]",Este é um fluxo baixo .,"[False, False, False, True, True, False]",Estes são fluxos baixos .,"[False, False, True, True, False]",Este é um fluxo inferior .,"[False, False, False, True, True, False]",Estes são fluxos inferiores .,"[False, False, True, True, False]",baixa mar,"[True, True]",Esta é uma tragédia nuclear .,"[False, False, False, True, True, False]",Esta é uma pressão vendedora .,"[False, False, False, True, True, False]",Esta é uma tela plana .,"[False, False, False, True, True, False]",Esta é uma cobertura verde .,"[False, False, False, True, True, False]",Esta é uma sangue quente .,"[False, False, False, True, True, False]",Esta é uma cooperação generosa .,"[False, False, False, True, True, False]",Esta é uma longa data .,"[False, False, False, True, True, False]",Esta é uma reunificação alemã .,"[False, False, False, True, True, False]",Esta é uma roleta russa .,"[False, False, False, True, True, False]",Esta é uma alta-costura .,"[False, False, False, True, False]",maré,[True],baixa,[True],fluxo inferior,"[True, True]"
massa cinzenta,massa cinzenta,"[True, True]",Esta é uma massa cinzenta .,"[False, False, False, True, True, False]",Estas são massas cinzentas .,"[False, False, True, True, False]",Esta é uma massa cinzenta . ,"[True, True, True, True, True, True]",Esta é uma cinzenta .,"[False, False, False, True, False]",Esta é uma massa .,"[False, False, False, True, False]",Estas são massas .,"[False, False, True, False]",Esta é uma massa normal .,"[False, False, False, True, True, False]",Esta é uma coisa cinzenta .,"[False, False, False, True, True, False]",Este é um cérebro .,"[False, False, False, True, False]",Estes são cérebros .,"[False, False, True, False]",Esta é uma massa alvacenta .,"[False, False, False, True, True, False]",Esta é uma matéria cinzenta .,"[False, False, False, True, True, False]",Estas são matérias cinzentas .,"[False, False, True, True, False]",Esta é uma matéria alvacenta .,"[False, False, False, True, True, False]",Estas são matérias alvacentas .,"[False, False, True, True, False]",cérebro,[True],Esta é uma documentação formal .,"[False, False, False, True, True, False]",Esta é uma topografia urbana .,"[False, False, False, True, True, False]",Esta é uma febre amarela .,"[False, False, False, True, True, False]",Esta é uma oferta firme .,"[False, False, False, True, True, False]",Esta é uma mão-fechada .,"[False, False, False, True, False]",Esta é uma bela cerimônia .,"[False, False, False, True, True, False]",Esta é uma viva voz .,"[False, False, False, True, True, False]",Esta é uma resistência soviética .,"[False, False, False, True, True, False]",Esta é uma ficha limpa .,"[False, False, False, True, True, False]",Esta é uma longa data .,"[False, False, False, True, True, False]",massa,[True],cinzenta,[True],matéria alvacenta,"[True, True]"
mau contato,mau contato,"[True, True]",Este é um mau contato .,"[False, False, False, True, True, False]",Estes são maus contatos .,"[False, False, True, True, False]",Este é um mau contato . ,"[True, True, True, True, True, True]",Este é um mau .,"[False, False, False, True, False]",Este é um contato .,"[False, False, False, True, False]",Estes são contatos .,"[False, False, True, False]",Este é um contato normal .,"[False, False, False, True, True, False]",Este é um coiso mau .,"[False, False, False, True, True, False]",Este é um problema .,"[False, False, False, True, False]",Estes são problemas .,"[False, False, True, False]",Este é um tocamento mau .,"[False, False, False, True, True, False]",Este é um contato ruim .,"[False, False, False, True, True, False]",Estes são contatos ruins .,"[False, False, True, True, False]",Este é um tocamento ruim .,"[False, False, False, True, True, False]",Estes são tocamentos ruins .,"[False, False, True, True, False]",problema,[True],Este é um futuro otimista .,"[False, False, False, True, True, False]",Este é um jogador tricolor .,"[False, False, False, True, True, False]",Este é um núcleo atômico .,"[False, False, False, True, True, False]",Este é um partido trotskista .,"[False, False, False, True, True, False]",Este é um pé quente .,"[False, False, False, True, True, False]",Este é um sentido colectivo .,"[False, False, False, True, True, False]",Este é um mau-olhado .,"[False, False, False, True, False]",Este é um brilho diferente .,"[False, False, False, True, True, False]",Este é um segundo plano .,"[False, False, False, True, True, False]",Este é um deputado federal .,"[False, False, False, True, True, False]",contato,[True],mau,[True],tocamento ruim,"[True, True]"
mau-humor,mau-humor,[True],Este é um mau-humor .,"[False, False, False, True, False]",Estes são maus-humores .,"[False, False, True, False]",Este é um mau-humor . ,"[True, True, True, True, True]",Este é um mau .,"[False, False, False, True, False]",Este é um humor .,"[False, False, False, True, False]",Estes são humores .,"[False, False, True, False]",Este é um humor normal .,"[False, False, False, True, True, False]",Este é um coiso mau .,"[False, False, False, True, True, False]",Esta é uma irritação .,"[False, False, False, True, False]",Estas são irritações .,"[False, False, True, False]",Este é um mau temperamento .,"[False, False, False, True, True, False]",Este é um humor ruim .,"[False, False, False, True, True, False]",Estes são humores ruins .,"[False, False, True, True, False]",Este é um temperamento ruim .,"[False, False, False, True, True, False]",Estes são temperamentos ruins .,"[False, False, True, True, False]",irritação,[True],Este é um jogador negro .,"[False, False, False, True, True, False]",Este é um litoral francês .,"[False, False, False, True, True, False]",Este é um quadro-negro .,"[False, False, False, True, False]",Este é um futebolista esloveno .,"[False, False, False, True, True, False]",Este é um braço direito .,"[False, False, False, True, True, False]",Este é um serviço funerário .,"[False, False, False, True, True, False]",Este é um carro-forte .,"[False, False, False, True, False]",Este é um futebolista neozelandês .,"[False, False, False, True, True, False]",Este é um cheiro-verde .,"[False, False, False, True, False]",Este é um tempo real .,"[False, False, False, True, True, False]",humor,[True],mau,[True],temperamento ruim,"[True, True]"
mau-olhado,mau-olhado,[True],Este é um mau-olhado .,"[False, False, False, True, False]",Estes são maus-olhados .,"[False, False, True, False]",Este é um mau-olhado . ,"[True, True, True, True, True]",Este é um mau .,"[False, False, False, True, False]",Este é um olhado .,"[False, False, False, True, False]",Estes são olhados .,"[False, False, True, False]",Este é um olhado normal .,"[False, False, False, True, True, False]",Este é um coiso mau .,"[False, False, False, True, True, False]",Esta é uma inveja .,"[False, False, False, True, False]",Estas são invejas .,"[False, False, True, False]",Este é um observado mau .,"[False, False, False, True, True, False]",Este é um olhado ruim .,"[False, False, False, True, True, False]",Estes são olhados ruins .,"[False, False, True, True, False]",Este é um observado ruim .,"[False, False, False, True, True, False]",Estes são observados ruins .,"[False, False, True, True, False]",inveja,[True],Este é um material ferroviário .,"[False, False, False, True, True, False]",Este é um autor espanhol .,"[False, False, False, True, True, False]",Este é um braço direito .,"[False, False, False, True, True, False]",Este é um manto azul .,"[False, False, False, True, True, False]",Este é um fio condutor .,"[False, False, False, True, True, False]",Este é um relatório incisivo .,"[False, False, False, True, True, False]",Este é um mar aberto .,"[False, False, False, True, True, False]",Este é um manual escolar .,"[False, False, False, True, True, False]",Este é um relógio biológico .,"[False, False, False, True, True, False]",Este é um pólo-aquático .,"[False, False, False, True, False]",olhado,[True],mau,[True],observado ruim,"[True, True]"
mercado negro,mercado negro,"[True, True]",Este é um mercado negro .,"[False, False, False, True, True, False]",Estes são mercados negros .,"[False, False, True, True, False]",Este é um mercado negro . ,"[True, True, True, True, True, True]",Este é um negro .,"[False, False, False, True, False]",Este é um mercado .,"[False, False, False, True, False]",Estes são mercados .,"[False, False, True, False]",Este é um mercado normal .,"[False, False, False, True, True, False]",Este é um coiso negro .,"[False, False, False, True, True, False]",Este é um mercado ilegal .,"[False, False, False, True, True, False]",Estes são mercados ilegais .,"[False, False, True, True, False]",Este é um mercado preto .,"[False, False, False, True, True, False]",Este é um negócio negro .,"[False, False, False, True, True, False]",Estes são negócios negros .,"[False, False, True, True, False]",Este é um negócio preto .,"[False, False, False, True, True, False]",Estes são negócios pretos .,"[False, False, True, True, False]",mercado ilegal,"[True, True]",Este é um novo edifício .,"[False, False, False, True, True, False]",Este é um grande dia .,"[False, False, False, True, True, False]",Este é um centro espírita .,"[False, False, False, True, True, False]",Este é um grande impacto .,"[False, False, False, True, True, False]",Este é um pé-frio .,"[False, False, False, True, False]",Este é um orçamento comunitário .,"[False, False, False, True, True, False]",Este é um sinal verde .,"[False, False, False, True, True, False]",Este é um sistema eleitoral .,"[False, False, False, True, True, False]",Este é um primeiro ministro .,"[False, False, False, True, True, False]",Este é um alarme falso .,"[False, False, False, True, True, False]",mercado,[True],negro,[True],negócio preto,"[True, True]"
mesa-redonda,mesa-redonda,[True],Esta é uma mesa-redonda .,"[False, False, False, True, False]",Estas são mesas-redondas .,"[False, False, True, False]",Esta é uma mesa-redonda . ,"[True, True, True, True, True]",Esta é uma redonda .,"[False, False, False, True, False]",Esta é uma mesa .,"[False, False, False, True, False]",Estas são mesas .,"[False, False, True, False]",Esta é uma mesa normal .,"[False, False, False, True, True, False]",Esta é uma coisa redonda .,"[False, False, False, True, True, False]",Este é um debate .,"[False, False, False, True, False]",Estes são debates .,"[False, False, True, False]",Esta é uma mesa circular .,"[False, False, False, True, True, False]",Esta é uma secretária redonda .,"[False, False, False, True, True, False]",Estas são secretárias redondas .,"[False, False, True, True, False]",Esta é uma secretária circular .,"[False, False, False, True, True, False]",Estas são secretárias circulares .,"[False, False, True, True, False]",debate,[True],Esta é uma ótima comida .,"[False, False, False, True, True, False]",Esta é uma ameaça iraquiana .,"[False, False, False, True, True, False]",Esta é uma sétima arte .,"[False, False, False, True, True, False]",Esta é uma atuação sindical .,"[False, False, False, True, True, False]",Esta é uma carta aberta .,"[False, False, False, True, True, False]",Esta é uma arma proibida .,"[False, False, False, True, True, False]",Esta é uma magia negra .,"[False, False, False, True, True, False]",Esta é uma era colonial .,"[False, False, False, True, True, False]",Esta é uma batata-doce .,"[False, False, False, True, False]",Esta é uma secretária eletrônica .,"[False, False, False, True, True, False]",mesa,[True],redonda,[True],secretária circular,"[True, True]"
montanha-russa,montanha-russa,[True],Esta é uma montanha-russa .,"[False, False, False, True, False]",Estas são montanhas-russas .,"[False, False, True, False]",Esta é uma montanha-russa . ,"[True, True, True, True, True]",Esta é uma russa .,"[False, False, False, True, False]",Esta é uma montanha .,"[False, False, False, True, False]",Estas são montanhas .,"[False, False, True, False]",Esta é uma montanha normal .,"[False, False, False, True, True, False]",Esta é uma coisa russa .,"[False, False, False, True, True, False]",Este é um brinquedo .,"[False, False, False, True, False]",Estes são brinquedos .,"[False, False, True, False]",Esta é uma montanha moscovita .,"[False, False, False, True, True, False]",Este é um monte russo .,"[False, False, False, True, True, False]",Estes são montes russos .,"[False, False, True, True, False]",Este é um monte moscovita .,"[False, False, False, True, True, False]",Estes são montes moscovitas .,"[False, False, True, True, False]",brinquedo,[True],Esta é uma miséria espiritual .,"[False, False, False, True, True, False]",Esta é uma análise teológica .,"[False, False, False, True, True, False]",Esta é uma classe executiva .,"[False, False, False, True, True, False]",Esta é uma fina faixa .,"[False, False, False, True, True, False]",Esta é uma água mineral .,"[False, False, False, True, True, False]",Esta é uma subsidiária espanhola .,"[False, False, False, True, True, False]",Esta é uma secretária eletrônica .,"[False, False, False, True, True, False]",Esta é uma oposição séria .,"[False, False, False, True, True, False]",Esta é uma primeira infância .,"[False, False, False, True, True, False]",Esta é uma terceira idade .,"[False, False, False, True, True, False]",montanha,[True],russa,[True],monte moscovita,"[True, True]"
navio negreiro,navio negreiro,"[True, True]",Este é um navio negreiro .,"[False, False, False, True, True, False]",Estes são navios negreiros .,"[False, False, True, True, False]",Este é um navio negreiro . ,"[True, True, True, True, True, True]",Este é um negreiro .,"[False, False, False, True, False]",Este é um navio .,"[False, False, False, True, False]",Estes são navios .,"[False, False, True, False]",Este é um navio normal .,"[False, False, False, True, True, False]",Este é um coiso negreiro .,"[False, False, False, True, True, False]",Este é um navio de escravos .,"[False, False, False, True, True, True, False]",Estes são navios de escravos .,"[False, False, True, True, True, False]",Este é um navio escravo .,"[False, False, False, True, True, False]",Este é um barco negreiro .,"[False, False, False, True, True, False]",Estes são barcos negreiros .,"[False, False, True, True, False]",Este é um barco escravo .,"[False, False, False, True, True, False]",Estes são barcos escravos .,"[False, False, True, True, False]",navio de escravos,"[True, True, True]",Estes são frágeis argumentos .,"[False, False, True, True, False]",Estes são sons interessantes .,"[False, False, True, True, False]",Estes são salões paroquiais .,"[False, False, True, True, False]",Estes são ventos ascendentes .,"[False, False, True, True, False]",Estes são pontos fortes .,"[False, False, True, True, False]",Estes são impostos corporativos .,"[False, False, True, True, False]",Estes são efeitos especiais .,"[False, False, True, True, False]",Estes são episódios soltos .,"[False, False, True, True, False]",Estes são abalos sísmicos .,"[False, False, True, True, False]",Estes são vôos domésticos .,"[False, False, True, True, False]",navio,[True],negreiro,[True],barco escravo,"[True, True]"
nó cego,nó cego,"[True, True]",Este é um nó cego .,"[False, False, False, True, True, False]",Estes são nós cegos .,"[False, False, True, True, False]",Este é um nó cego . ,"[True, True, True, True, True, True]",Este é um cego .,"[False, False, False, True, False]",Este é um nó .,"[False, False, False, True, False]",Estes são nós .,"[False, False, True, False]",Este é um nó normal .,"[False, False, False, True, True, False]",Este é um coiso cego .,"[False, False, False, True, True, False]",Este é um nó apertado .,"[False, False, False, True, True, False]",Estes são nós apertados .,"[False, False, True, True, False]",Este é um nó invisual .,"[False, False, False, True, True, False]",Este é um laço cego .,"[False, False, False, True, True, False]",Estes são laços cegos .,"[False, False, True, True, False]",Este é um laço invisual .,"[False, False, False, True, True, False]",Estes são laços invisuais .,"[False, False, True, True, False]",nó apertado,"[True, True]",Estes são ramos cilíndricos .,"[False, False, True, True, False]",Estes são tanques iraquianos .,"[False, False, True, True, False]",Estes são navios negreiros .,"[False, False, True, True, False]",Estes são cruzamentos artificiais .,"[False, False, True, True, False]",Estes são novos-ricos .,"[False, False, True, False]",Estes são lotes clandestinos .,"[False, False, True, True, False]",Estes são pontos cegos .,"[False, False, True, True, False]",Estes são governantes maias .,"[False, False, True, True, False]",Estes são elefantes brancos .,"[False, False, True, True, False]",Estes são exames laboratoriais .,"[False, False, True, True, False]",nó,[True],cego,[True],laço invisual,"[True, True]"
